'*',    25,     1,    11,    10,     2,     5,    25,     0
'SPENVIS 4.6.10.3386          - 11-May-2021 20:01:01'
'PRJ_DEF', -1,'FORESAIL-2'
'PRJ_HDR', -1,'Foresail-2'
'MOD_ABB', -1,'SH2Q'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  26814.00000000,' '
'MIS_END',  1,  26996.50000000,' '
'MIS_DUR',  1, 1.825000E+02,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'Dose at Transmission Surface of Slab Shields (Aluminium)'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/06/2023 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 30/11/2023 12:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 182.50 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','mm',  1,'Eqv Al Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 4.0546E+07, 3.6416E+07, 8.2189E+04, 4.0477E+06
 1.0000E-01, 1.9345E+07, 1.8237E+07, 4.6853E+04, 1.0612E+06
 2.0000E-01, 1.0288E+07, 9.9389E+06, 2.8830E+04, 3.2027E+05
 3.0000E-01, 7.1363E+06, 6.9475E+06, 2.1213E+04, 1.6759E+05
 4.0000E-01, 5.4112E+06, 5.2896E+06, 1.7199E+04, 1.0445E+05
 5.0000E-01, 4.2988E+06, 4.2133E+06, 1.4727E+04, 7.0785E+04
 6.0000E-01, 3.5187E+06, 3.4556E+06, 1.3000E+04, 5.0078E+04
 8.0000E-01, 2.4913E+06, 2.4529E+06, 1.0499E+04, 2.7893E+04
 1.0000E+00, 1.8379E+06, 1.8119E+06, 8.6228E+03, 1.7357E+04
 1.5000E+00, 9.2776E+05, 9.1439E+05, 5.9756E+03, 7.3981E+03
 2.0000E+00, 4.8946E+05, 4.8078E+05, 4.4542E+03, 4.2269E+03
 2.5000E+00, 2.6606E+05, 2.5972E+05, 3.4831E+03, 2.8541E+03
 3.0000E+00, 1.4809E+05, 1.4310E+05, 2.8894E+03, 2.1055E+03
 4.0000E+00, 4.8168E+04, 4.4600E+04, 2.1984E+03, 1.3700E+03
 5.0000E+00, 1.7087E+04, 1.4253E+04, 1.8006E+03, 1.0340E+03
 6.0000E+00, 6.9735E+03, 4.5656E+03, 1.5568E+03, 8.5108E+02
 7.0000E+00, 3.5368E+03, 1.4186E+03, 1.3878E+03, 7.3027E+02
 8.0000E+00, 2.3236E+03, 4.1880E+02, 1.2601E+03, 6.4471E+02
 9.0000E+00, 1.8527E+03, 1.1672E+02, 1.1583E+03, 5.7772E+02
 1.0000E+01, 1.6297E+03, 3.0471E+01, 1.0746E+03, 5.2460E+02
 1.2000E+01, 1.3931E+03, 1.4518E+00, 9.4359E+02, 4.4801E+02
 1.4000E+01, 1.2385E+03, 2.4658E-02, 8.4370E+02, 3.9476E+02
 1.6000E+01, 1.1192E+03, 1.7666E-04, 7.6383E+02, 3.5536E+02
 1.8000E+01, 1.0205E+03, 2.2276E-06, 6.9771E+02, 3.2284E+02
 2.0000E+01, 9.3735E+02, 0.0000E+00, 6.4191E+02, 2.9544E+02
'End of File'
