'*',    25,     1,    11,    10,     2,     5,    50,     0
'SPENVIS 4.6.10.3386          - 12-Aug-2022 14:39:54'
'PRJ_DEF', -1,'FORESAIL-2'
'PRJ_HDR', -1,'Foresail-2'
'MOD_ABB', -1,'SH2Q'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  27575.00000000,' '
'MIS_END',  1,  27605.00000000,' '
'MIS_DUR',  1, 3.000000E+01,'days'
'PLT_TYP', -1,'SUMMARY'
'PLT_HDR', -1,'Dose at Transmission Surface of Slab Shields (Aluminium)'
'PLT_LEG', -4,'Total','Electrons','Bremsstrahlung','Trapped Protons'
'PS Annotation',  8,  1
'Mission start: 01/07/2025 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 31/07/2025 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 30.00 days'
 0.95, 0.00, 1.00
'PS Annotation',  0,  0
'Thick','g/cm2',  1,'Eqv Al Absorber Thickness'
'Dose','rad',  4,'Dose in Si'
 5.0000E-02, 1.5441E+06, 1.4618E+06, 4.2166E+03, 7.8113E+04
 1.0000E-01, 6.1179E+05, 5.9285E+05, 2.0076E+03, 1.6928E+04
 1.5000E-01, 3.3099E+05, 3.2152E+05, 1.3347E+03, 8.1260E+03
 2.0000E-01, 2.0935E+05, 2.0324E+05, 1.0366E+03, 5.0725E+03
 2.5000E-01, 1.4443E+05, 1.4008E+05, 8.1569E+02, 3.5365E+03
 3.0000E-01, 1.0470E+05, 1.0137E+05, 6.7471E+02, 2.6614E+03
 3.5000E-01, 7.8105E+04, 7.5418E+04, 5.8047E+02, 2.1058E+03
 4.0000E-01, 5.9277E+04, 5.7039E+04, 5.0799E+02, 1.7298E+03
 4.5000E-01, 4.5487E+04, 4.3570E+04, 4.5231E+02, 1.4639E+03
 5.0000E-01, 3.5175E+04, 3.3499E+04, 4.0703E+02, 1.2689E+03
 5.5000E-01, 2.7362E+04, 2.5875E+04, 3.6579E+02, 1.1209E+03
 6.0000E-01, 2.1401E+04, 2.0063E+04, 3.3243E+02, 1.0058E+03
 6.5000E-01, 1.6828E+04, 1.5611E+04, 3.0559E+02, 9.1172E+02
 7.0000E-01, 1.3308E+04, 1.2190E+04, 2.8324E+02, 8.3536E+02
 7.5000E-01, 1.0587E+04, 9.5538E+03, 2.6441E+02, 7.6906E+02
 8.0000E-01, 8.4816E+03, 7.5177E+03, 2.4839E+02, 7.1545E+02
 8.5000E-01, 6.8428E+03, 5.9408E+03, 2.3459E+02, 6.6735E+02
 9.0000E-01, 5.5651E+03, 4.7159E+03, 2.2262E+02, 6.2654E+02
 9.5000E-01, 4.5652E+03, 3.7614E+03, 2.1213E+02, 5.9164E+02
 1.0000E+00, 3.7760E+03, 3.0149E+03, 2.0289E+02, 5.5816E+02
 1.0500E+00, 3.1531E+03, 2.4289E+03, 1.9391E+02, 5.3029E+02
 1.1000E+00, 2.6578E+03, 1.9669E+03, 1.8591E+02, 5.0507E+02
 1.1500E+00, 2.2610E+03, 1.6011E+03, 1.7872E+02, 4.8122E+02
 1.2000E+00, 1.9426E+03, 1.3100E+03, 1.7222E+02, 4.6038E+02
 1.2500E+00, 1.6849E+03, 1.0774E+03, 1.6631E+02, 4.4125E+02
 1.3000E+00, 1.4750E+03, 8.9044E+02, 1.6089E+02, 4.2363E+02
 1.3500E+00, 1.3027E+03, 7.3947E+02, 1.5591E+02, 4.0733E+02
 1.4000E+00, 1.1613E+03, 6.1694E+02, 1.5131E+02, 3.9306E+02
 1.4500E+00, 1.0430E+03, 5.1699E+02, 1.4704E+02, 3.7901E+02
 1.5000E+00, 9.4403E+02, 4.3508E+02, 1.4306E+02, 3.6588E+02
 1.5500E+00, 8.6204E+02, 3.6766E+02, 1.3933E+02, 3.5505E+02
 1.6000E+00, 7.9131E+02, 3.1193E+02, 1.3584E+02, 3.4354E+02
 1.6500E+00, 7.3159E+02, 2.6568E+02, 1.3255E+02, 3.3336E+02
 1.7000E+00, 6.7978E+02, 2.2716E+02, 1.2946E+02, 3.2317E+02
 1.7500E+00, 6.3628E+02, 1.9496E+02, 1.2653E+02, 3.1478E+02
 1.8000E+00, 5.9739E+02, 1.6797E+02, 1.2377E+02, 3.0566E+02
 1.8500E+00, 5.6404E+02, 1.4526E+02, 1.2114E+02, 2.9764E+02
 1.9000E+00, 5.3533E+02, 1.2610E+02, 1.1865E+02, 2.9058E+02
 1.9500E+00, 5.0949E+02, 1.0989E+02, 1.1627E+02, 2.8332E+02
 2.0000E+00, 4.8607E+02, 9.6135E+01, 1.1401E+02, 2.7593E+02
 2.0500E+00, 4.6618E+02, 8.4423E+01, 1.1183E+02, 2.6993E+02
 2.1000E+00, 4.4787E+02, 7.4422E+01, 1.0975E+02, 2.6370E+02
 2.1500E+00, 4.3184E+02, 6.5853E+01, 1.0775E+02, 2.5824E+02
 2.2000E+00, 4.1688E+02, 5.8488E+01, 1.0584E+02, 2.5255E+02
 2.2500E+00, 4.0370E+02, 5.2134E+01, 1.0401E+02, 2.4756E+02
 2.3000E+00, 3.9080E+02, 4.6634E+01, 1.0224E+02, 2.4192E+02
 2.3500E+00, 3.7934E+02, 4.1853E+01, 1.0055E+02, 2.3694E+02
 2.4000E+00, 3.6922E+02, 3.7683E+01, 9.8914E+01, 2.3262E+02
 2.4500E+00, 3.5940E+02, 3.4030E+01, 9.7339E+01, 2.2803E+02
 2.5000E+00, 3.5069E+02, 3.0818E+01, 9.5819E+01, 2.2406E+02
'End of File'
