Bottom Layer Material,Number of Entries,Chi-Squared,Min Non-Zero Entries,Max Relative Error
LH2,11800000,1.6855891763899664,68311.0,0.005450558543649152
He,7200000,112.49823554774888,61768.0,0.005845417970496201
Li,12300000,0.579053639819413,105980.0,0.004419192350379921
Be,14300000,0.5299803235976814,122880.0,0.004120757064154967
B,14700000,0.548154486797902,126180.0,0.004053023585742153
C,14600000,0.61522062466384,125740.0,0.004089093298291721
lN2,12100000,0.6209260111364353,104320.0,0.004436638506002669
lO2,16300000,0.5857451554382407,140250.0,0.003850768820549284
F,9600000,119.01298937551658,82970.0,0.004957555928906181
Ne,12000000,118.93140768265958,103010.0,0.004432251140327341
Na,15900000,0.44704493234963816,136660.0,0.0038940628637951103
Mg,18100000,0.4688880123483309,155510.0,0.0036640882012981242
Al,17000000,0.42631200577462025,145980.0,0.0037891283142679776
Si,16800000,0.4551309196415419,144090.0,0.0037617731002497316
P,16600000,0.42437694251255964,143260.0,0.003813485734538366
S,16800000,0.447845532266444,144700.0,0.003769191314754659
Cl,8300000,118.82904471617613,71653.0,0.005397392692444129
lAr,17700000,0.3375419923657285,152300.0,0.003688672807915387
K,17100000,0.4126749970820032,147730.0,0.003783361300008832
Ca,18000000,0.43820304990297226,154990.0,0.0036466826538768984
Sc,16800000,0.3422992517694615,144430.0,0.0037639198218262808
Ti,17000000,0.3125881605341293,146450.0,0.0037444911257823884
V,19000000,0.2842075441379256,163960.0,0.003549542682926829
Cr,18500000,0.2938279986866831,159430.0,0.0036314946619217074
Mn,17300000,0.2722086748074489,148700.0,0.003741837914776265
Fe,17400000,0.27793270910632345,149380.0,0.0037639160590432147
Co,17100000,0.2529698568346017,147280.0,0.003754354938544522
Ni,16900000,0.284030517638234,145600.0,0.003806548939568728
Cu,16900000,0.2366715637260098,145420.0,0.0037667584125011104
Zn,17800000,0.23668209726515216,153020.0,0.0037024528972627083
Ga,17300000,0.21179004051781264,149190.0,0.003715875701184222
Ge,17900000,0.19492910623749582,153730.0,0.0037098606550102064
As,18900000,0.19991891110386978,162560.0,0.0035911107168204396
Se,18600000,0.18248899903816593,160540.0,0.0036100645617758898
lBr,18400000,0.19539870663137163,157820.0,0.0036385424091233075
lKr,18000000,0.18062463168723944,154550.0,0.00366083947111545
Rb,17600000,0.17744012046382107,151140.0,0.0037272484416740878
Sr,13900000,0.17672216962212847,119630.0,0.0041311227664681295
Y,14200000,0.17757945969166308,122620.0,0.004104427291278501
Zr,14300000,0.1713452846652922,122770.0,0.004116645874175725
