Z,Material,Min Dose,Error,At PE %,Max Dose,Error,At PE %,Dose at 0% PE,Error,Dose at 100% PE,Error
1,LH2,0.1566,0.0009,0,0.2920,0.0013,100,0.1566,0.0009,0.2920,0.0013
2,He,0.2899,0.0017,100,10.155,0.015,0,10.155,0.015,0.2899,0.0017
3,Li,0.2924,0.0013,100,0.3596,0.0015,0,0.3596,0.0015,0.2924,0.0013
4,Be,0.2917,0.0012,100,0.3747,0.0014,0,0.3747,0.0014,0.2917,0.0012
5,B,0.2923,0.0012,100,0.3680,0.0014,0,0.3680,0.0014,0.2923,0.0012
6,C,0.2920,0.0012,100,0.3496,0.0013,0,0.3496,0.0013,0.2920,0.0012
7,lN2,0.2915,0.0013,100,0.3440,0.0014,0,0.3440,0.0014,0.2915,0.0013
8,lO2,0.2916,0.0011,100,0.3549,0.0013,0,0.3549,0.0013,0.2916,0.0011
9,F,0.2931,0.0015,100,10.459,0.013,0,10.459,0.013,0.2931,0.0015
10,Ne,0.2898,0.0013,100,10.454,0.012,0,10.454,0.012,0.2898,0.0013
11,Na,0.2894,0.0011,100,0.4000,0.0014,0,0.4000,0.0014,0.2894,0.0011
12,Mg,0.2915,0.0011,100,0.3938,0.0013,0,0.3938,0.0013,0.2915,0.0011
13,Al,0.2923,0.0011,100,0.4093,0.0014,0,0.4093,0.0014,0.2923,0.0011
14,Si,0.2906,0.0011,100,0.3979,0.0014,0,0.3979,0.0014,0.2906,0.0011
15,P,0.2925,0.0011,100,0.4117,0.0014,0,0.4117,0.0014,0.2925,0.0011
16,S,0.2906,0.0011,100,0.4009,0.0014,0,0.4009,0.0014,0.2906,0.0011
17,Cl,0.2923,0.0016,100,10.459,0.014,0,10.459,0.014,0.2923,0.0016
18,lAr,0.2901,0.0011,100,0.4461,0.0014,0,0.4461,0.0014,0.2901,0.0011
19,K,0.2935,0.0011,100,0.4135,0.0014,0,0.4135,0.0014,0.2935,0.0011
20,Ca,0.2918,0.0011,100,0.4017,0.0013,0,0.4017,0.0013,0.2918,0.0011
21,Sc,0.2910,0.0011,100,0.4436,0.0015,0,0.4436,0.0015,0.2910,0.0011
