Tue 14 Mar 14:52:49 EET 2023
Cluster:  triton
Job Name:  Run.sh
Job ID:  15248444
On Node:  pe87
Samples Test[%] Diff[%] Time[s]
1e+08 1.12800598871994 0.011 8.8e+01
2e+08 1.1287664943561675 7.6e-06 1.8e+02
3e+08 1.1291663295694456 4e-06 2.7e+02
4e+08 1.1295277471761807 3.6e-06 3.5e+02
5e+08 1.1292953977414093 -2.3e-06 4.4e+02
6e+08 1.1295428314507618 2.5e-06 5.3e+02
7e+08 1.1293711412437555 -1.7e-06 6.2e+02
8e+08 1.129519123588101 1.5e-06 7.1e+02
9e+08 1.129697665411447 1.8e-06 8e+02
1e+09 1.12963999887036 -5.8e-07 8.8e+02
1.1e+09 1.1296016353367258 -3.8e-07 9.7e+02
1.2e+09 1.1295078323920769 -9.4e-07 1.1e+03
1.3e+09 1.1296453068233498 1.4e-06 1.2e+03
1.4e+09 1.1297029991930694 5.8e-07 1.2e+03
1.5e+09 1.1295974659136017 -1.1e-06 1.3e+03
1.6e+09 1.1296539367939662 5.6e-07 1.4e+03
1.7e+09 1.1296690581590183 1.5e-07 1.5e+03
1.8e+09 1.1296970549279461 2.8e-07 1.6e+03
1.9e+09 1.1297646836159134 6.8e-07 1.7e+03
2e+09 1.1297712994351143 6.6e-08 1.8e+03
2.1e+09 1.1297412375572662 -3e-07 1.9e+03
2.2e+09 1.1298219085773538 8.1e-07 2e+03
2.3e+09 1.1297471299435882 -7.5e-07 2e+03
2.4e+09 1.1296933328626277 -5.4e-07 2.1e+03
2.5e+09 1.1297419995481033 4.9e-07 2.2e+03
2.6e+09 1.1297131534116487 -2.9e-07 2.3e+03
2.7e+09 1.129673925507528 -3.9e-07 2.4e+03
2.8e+09 1.1296373567394151 -3.7e-07 2.5e+03
2.9e+09 1.129622551334613 -1.5e-07 2.6e+03
3e+09 1.1295837662901387 -3.9e-07 2.7e+03
3.1e+09 1.1295838383452956 7.2e-10 2.8e+03
3.2e+09 1.1295737496470082 -1e-07 2.8e+03
3.3e+09 1.1295619390516478 -1.2e-07 2.9e+03
3.4e+09 1.1295294702560208 -3.2e-07 3e+03
3.5e+09 1.1295557711058413 2.6e-07 3.1e+03
3.6e+09 1.1295555274640123 -2.4e-09 3.2e+03
3.7e+09 1.129563540235253 8e-08 3.3e+03
3.8e+09 1.1295678944395875 4.4e-08 3.4e+03
3.9e+09 1.129547384325757 -2.1e-07 3.5e+03
4e+09 1.1295418497176146 -5.5e-08 3.6e+03
4.1e+09 1.1295105119196316 -3.1e-07 3.6e+03
4.2e+09 1.1295084997310694 -2e-08 3.7e+03
4.3e+09 1.129473441597797 -3.5e-07 3.8e+03
4.4e+09 1.1294797270160273 6.3e-08 3.9e+03
4.5e+09 1.1295269330823274 4.7e-07 4e+03
4.6e+09 1.1295128693196712 -1.4e-07 4.1e+03
4.7e+09 1.1294779784830897 -3.5e-07 4.2e+03
